Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count,Success
Nostra - Simplify Event Ticketing & Planning,https://www.kickstarter.com/projects/nostra/nostra-simplify-event-ticketing-and-planning?ref=discovery_ending_soon,Technology,Apps,USA,USD,30000.0,1.0,0,60,38,135,1251,0,7,0,0
Fred Green is recording new music!,https://www.kickstarter.com/projects/fredgreen/fred-green-is-recording-new-music?ref=discovery_ending_soon,Music,Rock,USA,USD,7500.0,8171.0,108,30,37,44,327,0,7,1,1
The Nightmare Adorable: A Short Film,https://www.kickstarter.com/projects/josephscrimshaw/the-nightmare-adorable-a-short-film?ref=discovery_ending_soon,Film & Video,Horror,USA,USD,13000.0,14520.0,111,21,37,114,575,0,21,1,1
GH Venture Anne,https://www.kickstarter.com/projects/meganroberge/gh-venture-anne?ref=discovery_ending_soon,Publishing,Children's Books,Canada,CAD,6000.0,1.29,0,60,44,25,65,0,7,0,0
4LIGHT BIKER LED-harness - For a safe motorcycle ride,https://www.kickstarter.com/projects/4light-biker/4light-biker-led-harness-for-a-safe-ride?ref=discovery_ending_soon,Technology,Wearables,Sweden,EUR,15000.0,801.0,5,30,43,61,478,0,24,2,0
"The Mistakes #3, Full House",https://www.kickstarter.com/projects/mazecomics/the-mistakes-3?ref=discovery_ending_soon,Comics,Comic Books,Canada,CAD,2000.0,2429.29,121,28,44,75,467,0,72,1,1
Wrestlers: Death at a Funeral,https://www.kickstarter.com/projects/wrestlers/wrestlers-death-at-a-funeral?ref=discovery_ending_soon,Film & Video,Comedy,USA,USD,2000.0,2037.0,101,27,44,130,562,0,7,1,1
"Familiar's Way Tarot, Oracle & ShadowWork. A 3 Deck Set",https://www.kickstarter.com/projects/antiquitiesofmagick/familiars-way-tarot-oracle-and-shadow-work-set?ref=discovery_ending_soon,Art,Illustration,Canada,CAD,28600.0,100706.29,352,23,45,134,3100,1,56,1,1
Imagine Nation: Issue #1,https://www.kickstarter.com/projects/imaginenation/imagine-nation-issue-1?ref=discovery_ending_soon,Comics,Comic Books,USA,USD,500.0,1208.0,241,30,45,135,259,0,21,0,1
Unf*ck Your Stress: Cope with Distress & Embrace Excitement,https://www.kickstarter.com/projects/microcosmpublishing/unf-ck-your-stress?ref=discovery_ending_soon,Publishing,Nonfiction,USA,USD,8000.0,10960.0,137,24,45,123,464,1,23,1,1
Legions of Rome 3D Printable Busts - Presupported STLs,https://www.kickstarter.com/projects/atlas3dss/legions-of-rome-3d-printable-busts-presupported-stls?ref=discovery_ending_soon,Games,Tabletop Games,USA,USD,750.0,4422.0,589,20,54,121,128,0,72,2,1
2024 Art Calendars by Erika Rae Heins,https://www.kickstarter.com/projects/erikaraeheins/2024-art-calendars-by-erika-rae-heins?ref=discovery_ending_soon,none,Art,USA,USD,1200.0,2267.0,188,22,54,48,74,0,12,0,1
Shiba Inu Snacks Enamel Pin Collection,https://www.kickstarter.com/projects/shibawow/shiba-inu-snacks-enamel-pin-collection?ref=discovery_ending_soon,Art,Illustration,AU,AUD,300.0,655.32,218,30,48,88,1118,0,18,0,1
Mushroom Girl Enamel Pin Quickstarter,https://www.kickstarter.com/projects/eclecticscribbles/mushroom-girl-enamel-pin-quickstarter?ref=discovery_ending_soon,Art,Digital Art,USA,USD,500.0,559.0,111,14,54,80,276,0,24,0,1
